datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2020-08-02 02:00:00,1596333600.0,2020-08-02 02:00:00,BTC/USDT,11956.28,11980.0,11904.86,11940.59,14216.822,169762747.68376,40786
2020-08-02 03:00:00,1596337200.0,2020-08-02 03:00:00,BTC/USDT,11940.59,12037.99,11885.0,12026.41,16050.159,191996090.71265,41254
2020-08-02 04:00:00,1596340800.0,2020-08-02 04:00:00,BTC/USDT,12026.41,12154.25,10490.0,11185.0,135655.742,1541746863.99313,323603
2020-08-02 05:00:00,1596344400.0,2020-08-02 05:00:00,BTC/USDT,11185.0,11422.46,11126.9,11260.0,48100.969,543185838.22022,130971
2020-08-02 06:00:00,1596348000.0,2020-08-02 06:00:00,BTC/USDT,11260.0,11328.14,11215.0,11302.34,13281.959,149947092.4926,46690
2020-08-02 07:00:00,1596351600.0,2020-08-02 07:00:00,BTC/USDT,11302.34,11379.98,11263.01,11327.7,13432.077,152317735.56831,38345
2020-08-02 08:00:00,1596355200.0,2020-08-02 08:00:00,BTC/USDT,11327.7,11351.0,11275.08,11289.99,11942.28,135139149.27999,36792
2020-08-02 09:00:00,1596358800.0,2020-08-02 09:00:00,BTC/USDT,11289.99,11335.0,11236.04,11316.18,10725.037,121105540.07047,33485
2020-08-02 10:00:00,1596362400.0,2020-08-02 10:00:00,BTC/USDT,11316.61,11329.99,11118.0,11261.41,16975.386,190776659.01902,46570
2020-08-02 11:00:00,1596366000.0,2020-08-02 11:00:00,BTC/USDT,11261.4,11282.25,10915.42,11114.19,41383.704,458985690.10724,106035
2020-08-02 12:00:00,1596369600.0,2020-08-02 12:00:00,BTC/USDT,11114.19,11187.3,10970.14,11005.84,25587.64,283766815.4514,75042
2020-08-02 13:00:00,1596373200.0,2020-08-02 13:00:00,BTC/USDT,11004.13,11141.06,10989.99,11117.65,12483.268,138383878.62479,39888
2020-08-02 14:00:00,1596376800.0,2020-08-02 14:00:00,BTC/USDT,11117.61,11188.0,11067.16,11144.64,11277.325,125583109.0912,33101
2020-08-02 15:00:00,1596380400.0,2020-08-02 15:00:00,BTC/USDT,11144.64,11161.17,11083.0,11093.91,7284.595,81050327.02643,24302
2020-08-02 16:00:00,1596384000.0,2020-08-02 16:00:00,BTC/USDT,11093.91,11224.09,11071.0,11212.89,11979.151,133693424.43213,34616
2020-08-02 17:00:00,1596387600.0,2020-08-02 17:00:00,BTC/USDT,11212.89,11297.98,11181.94,11273.28,13291.767,149390581.19645,38610
2020-08-02 18:00:00,1596391200.0,2020-08-02 18:00:00,BTC/USDT,11273.29,11279.14,11203.43,11237.86,7900.891,88838654.49349,25811
2020-08-02 19:00:00,1596394800.0,2020-08-02 19:00:00,BTC/USDT,11238.09,11275.0,11125.41,11212.69,9781.031,109553860.16072,30087
2020-08-02 20:00:00,1596398400.0,2020-08-02 20:00:00,BTC/USDT,11213.11,11226.75,11087.88,11099.38,9515.499,106107027.42316,28762
2020-08-02 21:00:00,1596402000.0,2020-08-02 21:00:00,BTC/USDT,11098.72,11160.52,11001.0,11139.56,13339.426,148029077.00102,43662
2020-08-02 22:00:00,1596405600.0,2020-08-02 22:00:00,BTC/USDT,11139.34,11196.82,11111.0,11125.56,7054.356,78699286.3155,22833
2020-08-02 23:00:00,1596409200.0,2020-08-02 23:00:00,BTC/USDT,11125.55,11149.21,11037.09,11079.72,8117.383,90112660.59515,25139
2020-08-03 00:00:00,1596412800.0,2020-08-03 00:00:00,BTC/USDT,11080.7,11153.98,10923.0,11142.0,16393.175,181223108.30993,48390
2020-08-03 01:00:00,1596416400.0,2020-08-03 01:00:00,BTC/USDT,11142.89,11186.53,11119.45,11128.0,6501.012,72523770.73344,22965
2020-08-03 02:00:00,1596420000.0,2020-08-03 02:00:00,BTC/USDT,11128.01,11219.98,11128.0,11189.9,5923.051,66242828.11147,20412
2020-08-03 03:00:00,1596423600.0,2020-08-03 03:00:00,BTC/USDT,11189.9,11206.4,11122.68,11146.75,6030.552,67324852.46813,19345
2020-08-03 04:00:00,1596427200.0,2020-08-03 04:00:00,BTC/USDT,11147.09,11196.96,11144.64,11182.0,4271.791,47733191.9616,14169
2020-08-03 05:00:00,1596430800.0,2020-08-03 05:00:00,BTC/USDT,11182.0,11213.0,11135.09,11212.21,5298.139,59223103.48053,16780
2020-08-03 06:00:00,1596434400.0,2020-08-03 06:00:00,BTC/USDT,11212.22,11260.89,11185.0,11202.13,8622.089,96728775.75939,24728
2020-08-03 07:00:00,1596438000.0,2020-08-03 07:00:00,BTC/USDT,11202.13,11247.0,11195.01,11207.1,5186.934,58211777.21998,18070
2020-08-03 08:00:00,1596441600.0,2020-08-03 08:00:00,BTC/USDT,11207.1,11255.2,11184.58,11202.45,5909.974,66326341.94911,21659
2020-08-03 09:00:00,1596445200.0,2020-08-03 09:00:00,BTC/USDT,11202.45,11228.0,11136.0,11141.47,8325.417,93079682.0428,24166
2020-08-03 10:00:00,1596448800.0,2020-08-03 10:00:00,BTC/USDT,11140.71,11212.0,11133.73,11211.99,5737.456,64115544.2146,18351
2020-08-03 11:00:00,1596452400.0,2020-08-03 11:00:00,BTC/USDT,11212.0,11258.93,11188.22,11243.81,9772.468,109690220.5714,28755
2020-08-03 12:00:00,1596456000.0,2020-08-03 12:00:00,BTC/USDT,11243.82,11257.39,11205.0,11230.18,7224.79,81138697.38266,22316
2020-08-03 13:00:00,1596459600.0,2020-08-03 13:00:00,BTC/USDT,11230.17,11310.74,11229.33,11280.2,10316.123,116316986.02698,30730
2020-08-03 14:00:00,1596463200.0,2020-08-03 14:00:00,BTC/USDT,11280.33,11352.0,11271.0,11310.01,16019.463,181170200.35408,41004
2020-08-03 15:00:00,1596466800.0,2020-08-03 15:00:00,BTC/USDT,11310.0,11394.06,11304.5,11392.33,15709.923,178532219.07756,41272
2020-08-03 16:00:00,1596470400.0,2020-08-03 16:00:00,BTC/USDT,11392.33,11483.0,11333.0,11367.69,25877.645,295645806.60967,63997
2020-08-03 17:00:00,1596474000.0,2020-08-03 17:00:00,BTC/USDT,11367.69,11447.0,11346.52,11430.0,9321.268,106292084.61683,29858
2020-08-03 18:00:00,1596477600.0,2020-08-03 18:00:00,BTC/USDT,11430.01,11440.0,11380.82,11427.23,5565.679,63491374.35599,19373
2020-08-03 19:00:00,1596481200.0,2020-08-03 19:00:00,BTC/USDT,11427.22,11427.23,11356.96,11409.76,6837.573,77872293.44205,23191
2020-08-03 20:00:00,1596484800.0,2020-08-03 20:00:00,BTC/USDT,11409.76,11429.15,11360.0,11383.88,6148.233,70020090.6606,18444
2020-08-03 21:00:00,1596488400.0,2020-08-03 21:00:00,BTC/USDT,11383.88,11420.43,11150.0,11201.33,22369.525,252705628.89333,58736
2020-08-03 22:00:00,1596492000.0,2020-08-03 22:00:00,BTC/USDT,11201.4,11303.95,11185.36,11223.81,15535.816,174689545.1463,42819
2020-08-03 23:00:00,1596495600.0,2020-08-03 23:00:00,BTC/USDT,11223.8,11256.0,11140.09,11227.07,9756.495,109353403.5651,29084
2020-08-04 00:00:00,1596499200.0,2020-08-04 00:00:00,BTC/USDT,11227.07,11427.38,11226.84,11378.76,14261.713,161758359.69598,40390
2020-08-04 01:00:00,1596502800.0,2020-08-04 01:00:00,BTC/USDT,11378.78,11386.77,11330.91,11333.22,6437.413,73128053.7221,20702
2020-08-04 02:00:00,1596506400.0,2020-08-04 02:00:00,BTC/USDT,11333.22,11372.0,11273.19,11294.64,6435.502,72866922.83173,24062
2020-08-04 03:00:00,1596510000.0,2020-08-04 03:00:00,BTC/USDT,11294.65,11326.9,11224.0,11270.58,7823.045,88181115.86567,23081
2020-08-04 04:00:00,1596513600.0,2020-08-04 04:00:00,BTC/USDT,11270.84,11324.3,11238.78,11320.77,6448.553,72781159.85362,20689
2020-08-04 05:00:00,1596517200.0,2020-08-04 05:00:00,BTC/USDT,11320.76,11337.0,11261.31,11285.97,4901.8,55354358.95331,17391
